cpu=0,cpu=20,cpu=40,cpu=60,cpu=80
-3.008,-10.057,397.447,-20.866,-7.598
2.567,-7.26,-44.118,36.82,-39.646
33.677,14.702,-144.349,-31.926,-64.252
17.194,-5.232,-133.06,40.897,49.064
2.681,-33.481,432.414,0.695,251.501
-4.644,27.7,-8.531,-96.686,-76.186
18.252,-9.334,-17.984,12.641,-50.793
-19.546,-11.481,1.027,-43.946,-65.027
-0.644,-5.546,126.094,-31.274,280.534
7.43,94.336,-56.63,-25.882,121.919
-27.74,40.297,-52.866,-14.437,159.58
-12.488,-38.438,-22.608,271.947,-2.964
-5.595,25.431,117.272,-2.647,0.059
-3.88,21.891,-28.431,-35.505,37.876
7.167,1.221,-18.549,-44.196,-60.369
-7.776,19.349,-18.089,10.842,-81.517
19.584,14.872,-38.496,-64.199,-45.709
-18.685,-23.69,-21.518,197.779,-4.077
-11.666,-81.824,-9.913,-18.306,306.905
-22.285,-72.386,-33.658,21.293,51.976
-36.754,-34.32,-42.507,-30.479,-129.658
28.822,15.007,201.7,99.611,-65.912
25.974,-19.407,-37.468,82.282,-66.434
-19.304,219.347,-32.24,-80.206,-80.64
-18.933,20.286,-19.293,53.494,-83.823
-1.513,-1.998,-41.149,-65.164,328.837
-15.498,-4.075,-39.301,198.14,251.33
-34.234,-50.65,-58.502,-83.616,188.857
49.078,-24.841,-64.107,0.699,-80.36
-3.36,-6.465,289.248,-51.883,-48.514
7.293,-67.577,-29.298,-84.534,-3.031
-36.763,-106.534,-92.957,40.24,-82.221
-119.056,4.343,-77.598,-74.884,-88.026
7.077,-29.285,-93.447,-97.997,-73.921
-9.175,-38.516,-12.142,-114.003,-53.481
-11.944,-6.225,-41.006,2.883,566.933
-17.036,-0.801,-31.098,23.754,126.567
41.894,-32.813,-7.738,22.84,-96.739
-16.741,99.507,-30.726,139.505,-69.356
-8.702,2.637,107.558,-42.366,-122.093
18.15,53.708,-6.602,-2.795,-13.955
-28.531,-32.532,48.876,61.07,-65.955
-6.216,-33.486,-47.712,-24.568,-26.755
-38.336,22.215,63.342,76.261,90.64
4.186,-29.062,-66.109,-45.651,-47.012
7.511,-0.967,-31.421,-10.093,348.884
1.69,24.369,310.924,190.474,142.024
-4.656,-15.649,-101.619,5.412,-72.149
-12.132,13.419,-18.244,-84.257,188.438
28.725,4.419,229.467,-15.015,-90.043
-1.005,-27.804,-51.415,45.167,-86.679
2.673,-20.769,-20.604,-72.217,-49.899
-13.331,-9.634,-91.336,-13.671,25.516
-12.989,18.72,685.972,97.471,12.629
-1.502,-65.861,-87.198,35.181,34.929
-17.526,-5.823,-19.22,-77.502,-47.847
27.734,-27.91,255.407,9.285,-30.741
18.783,29.856,-32.807,84.064,1.641
57.527,-3.03,-108.946,-26.037,-34.384
-1.59,8.156,-50.437,23.089,25.994
-17.643,111.575,222.022,252.141,224.415
5.817,42.324,19.151,7.665,-30.69
-13.182,-28.089,-21.547,-53.249,-70.641
-17.748,-18.343,-68.077,21.517,6.163
30.096,11.887,-47.667,-32.312,-20.039
-16.401,14.688,-35.986,-29.033,-51.52
-27.62,-27.484,-26.892,182.275,-26.479
-3.546,1.3,-48.753,142.778,11.818
6.141,119.654,-35.649,-92.08,25.931
26.04,32.255,-9.028,-15.072,75.522
49.166,-4.528,189.487,-72.661,116.681
3.71,-13.714,-34.296,-37.699,-76.687
-11.048,-28.347,-33.595,-67.51,-72.433
-11.7,-7.355,623.055,-15.372,31.173
-9.66,-28.512,-43.538,-16.698,-27.733
-2.893,-27.182,-91.308,-32.695,10.188
38.236,-20.463,-43.509,62.706,-30.592
-10.308,0.041,-32.487,-21.619,-61.567
-12.299,-6.398,57.974,2.862,326.885
-5.256,-12.333,347.794,60.442,201.671
15.179,2.877,-52.339,28.336,174.434
4.105,-28.59,-36.513,-31.575,-47.369
30.857,-2.407,-26.172,20.239,-54.294
-1.953,-15.934,237.347,-33.927,-41.806
78.767,-54.204,-102.155,-30.784,-17.481
-31.158,-10.831,-103.244,-6.803,-28.557
26.092,-20.215,349.562,-2.143,-80.635
-14.992,-34.436,-23.357,121.436,-99.681
-38.528,-14.649,-41.895,-23.965,-87.257
13.046,-23.901,-65.194,-40.601,24.587
-15.435,-13.153,-31.323,239.509,-90.195
-4.303,-20.911,-58.456,-124.414,-63.295
-8.365,-18.101,-60.312,112.115,-22.746
1.891,-28.532,-101.703,-9.498,-38.455
-6.164,-11.772,-77.652,-80.281,-76.788
8.251,-25.046,-46.694,102.825,-35.596
-17.049,-18.911,-16.843,-116.092,-60.238
-10.337,-21.515,316.319,17.568,187.845
-10.601,-59.49,-19.03,-19.078,28.11
4.111,-57.305,-120.857,40.103,-42.067
-22.123,24.313,-19.054,215.959,-98.622
1.05,47.765,15.947,-78.245,-51.283
-0.836,35.581,-44.3,-12.87,-98.14
66.065,-34.644,-68.196,-123.563,-89.849
17.638,-29.678,-2.208,49.943,-6.578
-9.481,17.007,-108.255,-15.702,-93.854
-2.586,-30.353,-86.826,7.984,-46.328
-8.536,7.982,-12.537,-13.051,180.433
25.59,-5.968,-71.115,-25.4,48.773
-18.796,-13.888,-26.329,-28.138,-25.389
84.156,56.782,-4.466,30.333,-76.84
25.577,13.542,38.265,-0.538,-206.499
2.067,10.676,-37.393,-68.879,-187.854
14.551,-40.588,120.044,-59.607,-69.214
-7.178,-1.155,42.359,-82.173,-28.071
-15.254,-19.219,-64.352,-37.539,-114.024
-1.399,-25.142,640.564,-31.386,-2.917
-34.337,16.42,-72.808,-24.032,76.091
-7.455,-10.521,-65.048,15.338,44.079
-7.807,-39.814,261.015,1.154,-56.774
10.485,0.634,-35.973,-30.416,-35.892
8.557,-56.941,-71.556,29.344,-28.931
1.229,-35.864,191.015,-96.715,-29.999
12.701,27.349,-70.96,81.954,-97.093
15.372,24.848,-48.418,-65.347,-80.179
40.21,-38.408,271.607,43.313,-17.352
-27.745,-2.047,-22.864,-10.221,68.41
8.041,-38.68,-7.225,87.158,26.263
-12.268,-14.678,-107.945,-62.988,92.082
12.342,-7.415,-90.676,-31.114,-31.109
-23.355,139.899,-19.019,225.687,-53.775
34.95,4.651,-43.752,-54.265,-41.214
23.839,-23.725,-59.883,-29.006,-0.184
15.169,-5.929,-25.375,-67.114,442.579
31.412,253.324,-90.772,2.731,206.871
-11.809,-52.579,-83.783,-83.455,-59.536
27.314,25.502,-55.396,-76.098,-115.956
61.291,-43.673,-58.064,-43.239,-69.404
-5.694,-14.977,-58.705,-91.371,-89.242
-10.843,-11.274,-80.299,105.286,-53.067
-7.692,-31.995,-112.49,-16.891,5.491
10.904,3.902,-78.433,8.263,-58.821
3.461,5.333,-76.366,-26.112,-37.455
7.859,-3.254,173.742,-56.805,134.317
-0.619,64.93,-120.017,25.357,-6.166
9.947,-17.428,-61.255,94.146,36.609
18.63,-25.067,-35.006,-39.448,-10.494
16.074,24.267,-29.274,-66.712,-39.997
6.921,131.576,-46.866,64.351,51.047
16.019,8.342,113.717,73.325,-15.97
-28.399,-14.977,474.689,-84.427,-38.055
16.662,-31.606,-60.467,273.058,145.9
-0.535,44.796,-47.275,-34.609,17.764
10.863,-25.164,65.446,-20.972,210.19
-23.937,-0.394,-33.883,5.079,-24.684
-14.482,26.42,-30.223,-24.309,-39.507
44.471,18.654,208.768,9.778,-92.628
14.667,-30.474,-2.199,34.637,-54.937
-11.04,-41.076,-80.135,-0.005,-63.893
3.244,-13.924,-51.134,-19.444,-12.666
-24.546,14.733,-63.055,-15.903,-96.963
10.818,-27.446,-11.324,-21.674,-49.166
-47.99,-13.235,-55.314,-47.093,12.052
-1.919,-30.281,307.593,-51.771,72.712
-28.311,-21.237,-12.582,-10.873,-46.208
-8.577,-22.71,-66.851,-90.752,-59.961
-12.861,-7.71,-60.001,69,-29.567
0.687,11.734,-22.987,-9.876,-0.751
-1.895,-3.357,-38.769,129.118,81.389
12.526,-20.486,-126.914,-45.878,204.712
13.867,17.751,-63.046,-10.028,81.038
5.87,5.849,-45.804,-64.982,-131.401
4.553,-9.422,-30.453,28.124,-76.804
8.04,-89.881,-7.55,-53.528,-43.834
-31.681,-15.267,-75.282,45.168,-70.884
35.06,-32.419,-104.784,-24.291,11.251
17.962,38.756,533.633,-14.498,20.642
-18.337,9.543,-15.201,7.518,-32.236
36.237,15.119,-79.977,-40.049,22.65
-13.19,-2.69,-88.918,18.486,122.122
-19.348,0.653,-4.288,-4.969,-43.962
1.929,6.613,-22.864,104.042,-40.69
-5.664,-15.988,-68.18,-41.47,-59.6
-12.003,50.034,-27.657,13.601,163.25
6.033,-29.616,-11.652,-36.48,398.814
16.726,-112.385,85.555,138.014,-22.883
-83.065,29.428,6.029,-103.347,29.132
33.698,-15.938,-32.125,-63.634,-26.621
9.46,20.852,292.648,-25.161,195.209
-17.414,94.351,-9.365,-11.586,-68.392
2.29,-10.224,-44.009,-65.559,-84.21
58.063,-5.617,-60.59,196.225,-88.056
-1.851,12.703,-66.496,-20.252,-54.844
-18.349,-18.263,-16.944,-63.015,1.808
-21.756,-22.94,-159.973,-96.257,68.471
-13.446,1.52,-65.522,35.186,81.9
-18.151,102.136,-45.261,205.128,-45.213
38.394,14.39,-48.654,-49.146,1.192
-22.846,-15.606,-5.784,-29.557,-29.832
17.944,-9.919,-89.213,85.3,-14.499
-10.832,-3.842,-7.125,122.382,-61.169
-8.792,34.922,32.57,-93.203,-19.413
4.849,18.92,22.021,1.474,-66.77
-0.225,-1.407,-38.293,-70.678,-3.652
4.835,0.993,-38.723,-89.61,2.529
21.575,-37.722,-26.02,107.924,-46.579
-2.378,-0.47,19.223,30.257,-5.998
-24.985,108.114,-39.938,-43.515,-41.381
-15.335,186.227,429.641,-24.331,8.691
8.982,-28.879,3.701,-77.97,-24.918
-25.965,-9.018,-40.504,0.933,84.859
19.434,18.479,199.133,0.426,10.761
1.554,0.545,11.973,-24.007,-78.965
-4.739,-0.4,-53.285,-27.213,-43.624
1.871,18.948,-63.378,-40.751,-68.012
-14.426,22.319,-38.805,-50.256,-36.107
49.099,30.303,-97.062,1.868,660.79
9.717,-31.197,-62.459,-63.005,120.938
116.36,-36.926,-87.485,26.261,-44.479
0.496,3.28,-49.279,-77.943,-48.837
-14.746,62.766,-22.15,-16.038,-61.426
-25.744,-26.238,-88.875,-34.287,-67.368
-32.559,22.436,-62.928,-109.326,-91.4
9.207,-4.314,-90.467,202.135,-36.3
45.451,-12.118,-68.281,36.007,-81.33
15.68,-3.867,-88.879,-35.162,-69.742
-27.756,21.031,-129.833,-24.461,-32.579
8.069,1.371,-41.052,207.558,209.628
7.464,104.442,-42.413,142.29,-17.682
50.453,-40.127,-106.852,-11.311,-32.889
2.527,-35.383,-17.173,-80.227,-24.87
1.176,-43.276,-30.422,19.828,-100.807
-6.481,31.442,-71.596,-55.131,2.278
15.994,78.657,-2.129,-76.192,12.765
11.621,15.876,-76.744,147.755,-42.535
-5.864,-18.686,-45.215,-61.753,10.396
-14.029,-2.319,358.708,-43.333,-48.843
-6.019,1.594,-57.095,-60.392,-58.441
23.19,21.451,-51.495,135.034,33.713
-7.098,-24.784,-77.616,-101.796,184.932
-18.415,2.221,480.44,-14.424,469.451
32.505,-18.851,-72.123,-38.511,-74.107
-1.415,24.988,-127.136,-74.428,-20.862
-24.869,58.198,280.751,-21.484,-22.73
21.939,1.173,8.302,-12.309,-51.123
86.171,-20.576,-76.765,-4.614,-85.925
-37.972,-37.337,423.227,-39.252,-35.942
13.891,0.183,-16.536,88.996,-84.817
-16.275,24.133,-49.067,161.714,-63.735
0.215,-31.05,-50.604,-97.643,248.146
-8.321,31.006,-18.769,78.856,413.141
-20.194,-4.753,-70.279,-9.297,-109.452
-9.652,203.691,-30.552,-53.29,-56.304
-21.837,15.604,-88.299,-50.871,-31.604
31.719,-0.008,-14.006,-37.167,-94.629
-17.896,-19.198,3.28,-37.59,-30.293
15.369,80.641,-13.454,232.156,-24.814
12.745,7.729,-32.995,-89.676,-114.474
-14.217,-37.352,-21.09,-45.686,16.581
31.116,-44.112,-72.474,-47.783,2.983
32.379,-14.161,-43.2,-85.868,-32.064
-11.999,29.407,25.082,-33.82,166.965
-2.628,63.378,-40.685,-29.017,220.716
33.814,2.473,-46.898,8.159,344.621
-21.285,-31.027,-15.67,-35.324,109.647
27.843,-20.111,-108.41,-46.848,-99.614
32.07,112.489,-33.957,-58.019,-33.42
-18.763,-9.618,544.795,87.805,-14.018
-8.021,-19.068,-42.905,-22.689,-16.428
10.344,24.661,177.188,-73.846,-139.143
-39.815,6.55,-29.889,-119.634,-60.275
-112.847,-31.888,-28.58,3.936,-37.68
120.689,40.922,-89.066,-96.739,-0.116
0.789,-26.06,-44.077,39.02,29.806
-7.911,-19.809,-39.397,9.932,460.027
5.878,16.497,-78.693,-7.522,-37.387
-3.207,53.707,-20.648,33.144,-23.798
-10.694,24.31,-70.197,24.198,-59.336
-0.277,5.213,-129.8,-8.736,-92.457
-13.353,-15.708,-76.602,19.896,-106.236
-12.213,8.924,-57.135,-22.148,-156.094
-61.606,-13.409,-52.218,-34.95,53.731
-11.003,88.636,-35.365,76.999,1.541
-7.255,-11.305,-86.341,16.124,105.107
19.553,10.186,-52.485,21.177,-80.222
5.4,0.943,57.365,5.779,106.795
26.571,-21.353,-15.684,-24.033,-52.47
27.566,-21.909,-84.081,-15.394,-40.046
-5.655,-31.442,-20.128,17.256,-51.379
33.001,-4.351,-45.232,-0.407,81.873
-9.426,-15.375,-7.796,12.52,-58.369
1.971,2.463,-26.218,-32.885,-4.558
16.399,-26.017,-75.505,-61.805,-77.1
-26.14,1.995,-55.071,67.436,-48.859
-28.453,-22.254,-99.994,-22.777,-6.256
-0.926,-26.138,-74.67,-84.162,-29.573
-2.326,-7.201,-40.494,-53.271,5.17
8.914,-34.074,-50.84,66.61,19.353
-20.721,12.56,23.251,-44.322,9.168
75.793,1.352,228.258,-35.168,-46.527
15.968,25.209,-36.903,-27.155,-11.252
10.627,6.326,-55.088,204.041,-3.515
13.126,-1.625,348.74,-22.7,-11.498
24.711,21.477,-8.687,109.925,126.737
39.909,40.346,-87.614,42.526,8.941
-21.093,-32.08,-25.348,14.975,-31.051
36.326,-29.033,-73.116,-64.328,30.583
29.453,-19.72,-18.729,-67.673,41.698
-22.652,-44.74,-24.972,31.961,-44.76
-12.623,-9.838,78.379,133.837,-21.62
-1.151,-10.349,1.762,-49.688,-31.624
-10.52,-36.306,-12.699,-66.85,130.33
-15.852,-27.748,-8.205,28.628,244.928
-14.532,-29.188,-67.006,-35.431,-99.733
-3.532,-24.051,-22.613,-14.263,-152.149
8.82,-13.46,-23.929,-2.494,-56.907
14.766,-36.407,-18.712,-132.076,57.891
-32.101,-8.986,-29.841,-77.184,20.665
-26.013,-50.195,-54.508,61.172,-16.577
4.589,43.053,-92.686,-33.067,-81.067
-16.338,-11.417,82.969,-5.246,393.376
-20.081,9.278,-77.683,-13.512,-40.561
33.665,148.707,-63.414,-58,-6.455
-5.091,-16.408,667.376,-32.936,-12.778
0.301,46.337,-86.097,-37.307,-9.218
1.675,-4.606,-57.63,65.466,-112.278
48.515,26.357,149.12,-21.242,-17.263
-8.074,38.854,3.626,7.433,-50.819
-13.387,-23.059,-50.08,-68.833,-91.113
7.645,30.023,4.774,15.987,-9.571
0.219,-17.563,-84.759,-22.302,-19.065
-34.195,-22.755,-60.656,-57.057,-43.819
-23.059,-16.415,-30.189,8.75,-101.71
-6.289,-2.409,-86.69,138.693,-27.242
-20.199,15.83,47.805,-7.596,258.449
-11.249,-59.594,7.469,-28.754,-38.028
14.926,-14.784,36.585,-3.67,121.552
-20.825,-12.422,-47.577,36.792,-31.404
7.514,-36.38,-47.966,-84.815,-45.568
1.507,15.944,-10.94,161.224,-85.597
-13.292,-71.844,-88.2,-107.404,-36.527
-22.651,-7.689,192.884,-30.578,-66.24
60.133,63.821,57.522,62.236,133.744
-58.265,-56.468,-32.577,-24.241,-56.094
-20.957,0.01,76.56,4.602,-46.177
-0.915,131.158,-6.576,-18.135,-61.776
-6.203,-19.363,-25.474,-41.78,108.569
-3.579,-39.667,-74.313,308.418,204.979
33.548,-0.339,-119.132,-17.904,299.264
-14.169,-26.817,-65.606,-52.395,-48.064
-9.401,-25.666,-33.253,-43.186,42.651
30.275,-25.68,-97.225,47.987,-17.948
2.87,-29.621,0.204,-79.813,-94.331
-56.676,-21.858,-34.846,6.752,-74.216
0.869,-39.645,-57.619,-35.664,-116.125
24.991,-19.523,-9.026,65.585,-81.95
2.566,31.255,4.153,-73.447,72.585
-11.681,7.916,-86.595,-30.423,-38.925
0.974,-25.742,-118.546,88.696,16.079
-15.318,-0.041,-74.541,-116.949,125.83
-8.08,-34.115,-75.378,-1.876,-70.154
-1.415,-16.524,-66.027,-5.795,-18.135
39.932,-28.307,-72.479,81.188,-41.999
-2.44,-23.945,44.946,62.429,-35.584
9.257,-73.019,19.442,166.959,-51.16
-42.345,3.889,-44.662,-23.388,6.204
33.372,18.262,236.943,228.289,-60.148
-24.386,-2.981,15.414,-59.16,-38.446
-24.601,13.714,-30.382,-67.612,-68.279
10.272,-14.897,-40.018,137.155,-70.494
-4.801,-23.82,-17.947,-89.186,-75.507
-8.006,-28.339,-21.078,-108.758,64.068
8.974,78.04,242.234,289.878,-73.152
-16.168,150.431,-68.865,-90.607,-35.621
-5.337,10.208,-48.333,2.895,78.504
15.881,15.844,-31.464,14.039,46.898
-6.989,-25.617,43.127,128.88,-19.687
-6.743,8.48,-3.587,-56.472,30.009
-5.212,-31.23,-3.554,38.264,98.218
49.542,-36.638,-66.481,67.06,38.319
24.935,-39.234,-66.451,-1.158,-21.92
-0.549,64.263,296.144,-15.152,-74.711
-17,17.49,-6.075,125.127,-86.796
-4.601,7.775,21.214,-31.776,-70.716
50.298,-48.26,-114.148,-48.84,-102.056
-14.032,13.396,257.862,-21.513,34.112
-13.242,-10.956,22.255,-36.639,10.868
74.535,-19.809,-48.45,-45.857,25.32
-24.427,-39.333,-72.805,-149.498,18.827
-3.967,-9.845,393.819,-68.845,4.115
4.994,3.723,-20.462,-110.89,-98.393
5.946,-0.787,-84.855,-65.098,71.828
-4.261,4.628,-20.041,28.401,-43.116
7.151,24.757,-69.651,160.477,-49.426
-12.932,25.831,-16.168,144.053,144.74
-14.079,33.461,-16.463,-47.366,-36.038
-1.892,2.009,198.213,-29.759,10.11
-12.987,102.374,-32.725,-68.718,-6.685
-20.485,-15.349,9.834,24.099,-8.219
44.566,-6.298,464.575,-76.785,-107.302
-15.531,-36.842,10.077,-65.6,-21.581
-17.28,-12.925,-24.189,-122.226,-42.415
42.018,18.692,-87.599,58.879,-82.365
-34.779,192.382,362.644,-43.567,-56.064
-15.42,13.308,-52.615,234.335,-95.789
-11.05,-36.154,-48.777,-13.17,-14.39
5.736,-18.906,-61.993,-64.814,-74.644
-19.899,60.737,-67.243,190.765,-110.157
-12.967,-48.729,-40.212,-51.494,-99.268
19.346,-34.688,-67.257,110.65,-27.808
-7.977,35.299,-36.633,-107.24,-17.705
-0.446,24.122,-10.902,-52.047,-66.074
-35.727,-23.952,177.123,-40.567,-31.493
59.77,-35.446,-27.462,-0.539,24.406
9.528,-8.215,-53.826,-25.135,40.035
-23.281,-9.667,156.301,-59.073,-49.378
-4.019,115.748,-25.157,-39.14,-33.062
33.505,5.984,-39.949,-13.811,-29.884
1.492,-19.015,0.348,103.638,-71.732
-7.548,-20.703,-70.649,-60.771,-3.89
29.856,-1.532,18.743,-22.74,-38.336
-26.37,-32.912,-24.776,-4.696,-45.114
-24.346,5.807,-13.434,132.371,124.707
45.695,-13.775,-48.197,22.212,33.534
-54.902,7.617,-45.758,-89.176,51.817
-4.946,-26.454,-7.202,-69.679,-1.379
26.08,-1.047,265.777,53.723,-10.845
-29.102,47.581,-57.464,-10.152,-72.709
-1.137,-10.043,-20.445,-77.973,-78.941
-7.695,22.187,-19.811,-56.118,-23.747
10.718,-22.809,-52.721,100.786,-71.492
-22.903,-16.887,-41.077,-37.61,-73.698
78.075,78.383,-11.983,1.348,276.834
-24.813,-24.685,-66.082,-62.538,277.501
37.542,-0.658,-32.599,90.592,171.428
8.799,-4.228,-52.344,-47.944,-50.285
1.348,-17.172,176.142,13.792,-30.395
3.294,-27.9,-51.511,-71.283,60.051
9.14,-18.704,-21.891,164.968,-58.068
13.962,29.319,582.525,424.869,38.993
11.614,-50.872,-102.305,206.104,-39.135
13.997,162.746,-78.086,121.444,6.605
36.587,2.476,249.145,-124.826,23.068
