cpu=0,cpu=20,cpu=40,cpu=60,cpu=80
10.488,-11.807,-3.899,27.695,-33.524
-6.958,-22.029,-3.191,38.692,-48.464
22.736,-21.525,-36.162,-51.919,-43.494
2.008,-20.006,-18.219,154.359,3.431
-16.924,-32.739,238.742,-94.674,-31.975
5.745,-2.169,-44.095,4.815,243.745
-21.223,0.099,-5.461,-32.945,104.631
-14.62,-13.198,304.521,-75.084,-48.121
-11.658,20.444,-19.216,-45.975,-111.575
-5.499,26.536,-53.38,-33.094,77.043
13.723,-15.822,1.581,8.716,19.312
-2.437,-6.503,-70.979,-20.437,-83.667
5.571,-7.468,-36.916,-12.51,25.617
-6.151,-2.789,-42.766,-12.838,-20.487
-5.695,64.543,-71.318,-23.423,-50.364
0.726,-0.671,150.309,-31.678,287.747
-6.145,13.514,506.844,87.314,-74.268
-5.785,-24.943,-119.581,35.532,32.917
-15.914,-40.097,-62.44,-54.842,-15.114
6.959,15.788,-41.303,-58.969,-65.877
10.108,31.36,-5.962,-95.766,-31.781
23.298,-11.684,-3.684,-56.773,-1.46
-27.153,-17.906,73.527,-79.467,-25.183
12.123,14.641,-60.713,-30.085,-58.351
43.481,-35.691,-79.801,194.106,24.684
-28.689,-27.497,-43.827,33.472,-40.211
-25.619,13.42,-40.698,-4.246,15.962
-5.815,25.403,-86.649,-70.056,-30.643
-18.477,17.898,-49.832,351.289,-65.107
2.787,9.301,-92.909,-106.428,-14.134
2.679,155.789,-43.437,-45.013,179.623
-14.982,41.091,-120.747,-44.558,-8.583
7.276,-14.608,-25.014,51.352,278.615
-28.143,-55.896,-24.744,8.435,97.701
-33.91,-15.772,2.962,2.512,160.844
26.963,-2.674,-4.358,-110.75,91.577
-2.046,-7.065,-10.265,-60.491,15.779
-18.155,-24.037,93.896,-64.783,4.923
-16.732,-31.832,32.777,31.266,-73.65
4.123,14.615,-63.64,-17.02,-21.361
-17.846,-17.272,506.604,92.577,167.273
-17.169,100.343,-37.452,65.122,166.905
-11.868,-22.24,-44.676,39.133,18.89
-12.469,14.161,126.218,-2.778,-40.141
29.674,20.577,13.73,-20.573,-106.012
0.318,-51.811,49.358,-34.672,-9.01
-27.772,-9.438,-42.01,-10.591,-56.689
19.237,-13.319,35.336,125.067,-41.23
3.096,-57.924,9.235,-10.341,-43.265
34.675,26.904,8.51,-46.324,-12.85
-22.604,19.4,5.406,-7.758,-40.264
-15.417,33.426,51.126,-57.706,53.289
8.182,-26.852,-13.424,-57.328,-44.755
-13.923,-47.709,-27.805,91.012,5.463
-13.811,32.274,65.599,-107.352,-44.48
7.169,-20.962,-4.644,61.011,-40.186
26.691,-22.364,-110.235,-39.604,-63.937
-19.882,-41.727,-51.106,102.843,-18.831
-3.031,-2.223,-14.947,133.632,-29.52
23.44,-59.646,-51.243,133.85,48.521
-26.706,-13.247,-113.007,-118.113,-39.481
4.042,-27.374,-41.4,-21.596,-60.803
-20.602,6.82,275.722,-76.583,-46.671
7.927,-30.857,-74.266,53.131,-12.457
-19.673,0.05,-47.15,-63.83,-53.289
-5.364,-18.99,-46.628,33.817,-63.388
33.252,-22.423,41.127,-26.141,-69.729
-20.318,-30.973,-30.197,-12.226,298.099
7.033,9.039,101.47,6.009,-62.301
19.299,-52.763,-17.116,30.654,312.115
-40.936,-1.113,-22.926,87.343,327.354
27.032,-51.936,-62.008,-27.702,80.24
33.98,-27.333,-63.268,100.728,-89.503
-5.069,-16.554,-18.981,-47.694,-81.169
-15.349,14.611,-19.268,-3.939,-53.569
35.442,-19.484,54.787,-13.084,9.817
4.944,-46.495,-107.383,73.187,-4.701
106.33,8.984,-33.519,-27.509,9.434
-24.931,-43.799,-49.862,-38.777,-77.066
34.309,-7.039,-59.015,50.566,326.584
-1.996,-1.949,62.956,88.366,75.803
-33.107,36.743,-68.557,-27.517,-0.028
-35.045,16.848,-95.625,-9.18,-50
-3.406,11.872,113.793,75.006,139.608
16.92,-15.67,-26.75,163.464,16.685
7.375,99.893,-42.722,-73.695,-51.794
17.694,4.905,-45.725,189.562,148.941
-17.394,-24.965,-52.044,-31.793,80.023
35.585,-21.603,-71.521,-91.629,-55.684
-0.236,-5.318,-48.997,0.799,-43.681
21.59,19.364,20.827,-48.571,-39.203
61.887,-0.994,-54.162,-8.917,-36.508
11.062,-25.904,15.296,-50.909,-25.051
2.91,-37.47,-97.265,-1.421,18.954
-0.002,-11.534,289.772,-37.224,-36.698
14.516,-35.732,-72.815,-56.522,-43.851
10.252,-11.26,-56.81,-4.832,-36.498
-14.159,63.969,2.332,-60.088,-78.684
5.232,-34.306,-100.933,56.429,-87.811
-15.355,-40.115,34.173,-50.555,-42.198
-18.816,28.438,-121.189,-1.151,-67.541
52.316,40.189,-53.343,-29.83,-43.367
-16.875,18.489,-41.893,-69.247,81.512
98.975,-23.341,-15.41,-29.934,231.65
0.472,-3.341,-55.148,-54.253,94.02
-30.58,-49.738,-79.692,-70.904,48.286
9.72,-2.24,209.136,-16.088,92.882
-3.616,-37.78,-32.876,-61.692,-35.156
-5.298,-12.665,-76.418,29.309,-4.149
-8.588,6.525,-32.4,-7.739,-16.239
13.169,-24.877,34.508,9.019,-117.158
